k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
10,0,clean,28,23,9.25683413381162,1.8282559897376194,7.3162960591523545,2.012331236792978,-5.893824909044349,0.9735389113559039,-1.5795005054577538,1.8897181635392397,-4.314324399699336,1.9125593942512948
10,0,refusal,28,23,67.34910416603088,34.07702168540084,12.557544832644256,2.059481023031612,-12.533470962358559,5.490548007117958,-18.05742661849312,4.193157139893046,5.523955635402514,1.9322150322207998
10,0,static,28,23,-5.960464477539063e-08,4.003154863652649,0.0,0.0,-2.8271956730472003,2.9842690979014703,-6.9455616033798,2.438513173563164,4.118365889010222,3.799805095103104
10,1,adaptive,28,23,-2.764647525289784,12.549949760655766,6.686569862725699,6.078371751282674,-7.7458915380032165,3.6779649177928704,-12.876128818677818,2.7746323401256934,5.1302372476328975,1.2838063160042956
10,1,clean,28,23,9.086837229521379,8.632504585205474,7.872083269383596,3.867826087501829,-2.1620182531035463,2.7980056313540276,-9.162840718808381,2.4196014361650677,7.000822461169699,1.0287832287875662
10,1,refusal,28,23,71.42687134120776,31.277913326176414,13.120616125023883,3.558184977037259,-10.967858127925707,3.5452890629934877,-16.164878720822543,2.655186063164998,5.197020572164784,1.2478935453565463
10,1,static,28,23,-1.0366025178328804e-07,12.858426808592622,0.0,0.0,-6.4154655881550005,3.249577064903645,-10.82714024834011,2.7799081955698925,4.411674696466197,1.6633362001669048
10,2,adaptive,28,23,-1.8189390042553777,7.012503009100325,9.251650423507469,7.849180002302052,-8.410516153211178,3.6468004215903003,-13.886173331219217,3.35299399049458,5.475657193557076,1.2794842650663416
10,2,clean,28,23,7.9551282499147495,6.788823170033021,13.389523872538753,5.14789176524739,-8.628366947174072,2.147797951342325,-12.189637660980225,3.003245232909982,3.5612707345382026,2.733777147831832
10,2,refusal,28,23,65.2900918877643,30.999453033860657,15.959702906401262,3.8905323556652673,-10.91043709412865,4.845255876263676,-18.788526182589322,5.215346898126142,7.878089116967243,1.9766928428081978
10,2,static,28,23,5.183012589164402e-08,5.038720060736417,0.0,0.0,-8.924630603064662,5.437771672963097,-13.439625055893607,4.893603789473896,4.514994434688402,1.3682238991081292
10,4,adaptive,28,23,-3.5159012636412745,7.05976523564007,11.981555338955925,9.254104173714369,-7.557217675706615,3.2008093446353216,-15.745003928308902,3.185895932513603,8.187786288883375,2.950307845929337
10,4,clean,28,23,4.945608201234237,5.861564568842526,17.85088656103566,6.067219218715273,-12.452716345372407,5.154462004505829,-18.445528963337775,4.704624642939064,5.992812592050304,2.2844454716597586
10,4,refusal,28,23,64.34027692546015,32.40982369991326,18.00314426422119,4.857131134963256,-16.15198198090429,6.279875571242225,-19.5348190224689,4.110012314892244,3.382837046747622,2.3483764131920895
10,4,static,28,23,1.0366025178328804e-08,7.778612155719794,0.0,0.0,-11.364606320858002,7.608075160704289,-17.44551179720008,6.625630656785232,6.080905489299608,3.9742932802996886
10,8,adaptive,28,23,2.077858251074086,15.925735521004201,14.12530508704114,10.682567995432287,-16.753720749979433,4.8711406687679375,-20.8149066593336,4.528692837667593,4.061185919720193,2.335882199925932
10,8,clean,28,23,5.967369159926539,11.509390743244353,20.975597428476803,8.106476060427855,-16.535303053648576,5.947692748905147,-19.561724123747453,4.7420919244875375,3.026421070098877,2.1695508842082485
10,8,refusal,28,23,64.48683444313382,26.123877738855803,19.68929848463639,6.786493767661276,-11.31985566927039,4.905127493058459,-15.9651403012483,3.6963797333878468,4.64528463197791,1.5773802406769373
10,8,static,28,23,-2.8506569240404213e-08,14.361590817570317,0.0,0.0,-20.06056947293489,7.3667533474362275,-21.77874345364778,5.635373501180513,1.7181739807128906,2.4597853890128403
10,16,adaptive,28,23,-3.085774193639341,22.234012621352043,12.973373989263168,8.642922818893915,-15.258300366608992,5.279282176143822,-20.058468279631242,4.664366262276411,4.800167913022249,1.4281172024638107
10,16,clean,28,23,7.573620319366455,18.989001383415992,20.469302537101928,7.562114561619195,-18.475440232650094,6.058403993359242,-20.76577087070631,4.4540344385587005,2.290330638056216,2.7355000221017916
10,16,refusal,28,23,45.52692703578783,11.431858583302388,24.050789252571438,4.784551329945705,-15.830346314803414,5.4155114679915535,-18.604554881220277,4.214791351848635,2.7742085664168648,2.5919320941342
10,16,static,28,23,-2.0732050356657608e-08,21.106534034561122,0.0,0.0,-19.705092709997427,8.065860181621792,-22.60608196258545,7.285165447777377,2.9009892629540484,2.227203650394253
20,0,adaptive,28,23,3.243611182855523,6.38880476146578,6.95661356786023,4.863321979924011,-1.6045326564622961,1.8682638279783346,-7.491957726685897,1.6191847592211805,5.887425111687702,1.870675106385483
20,0,clean,28,23,13.775788348654043,1.3126923178221104,7.862762015798817,1.978557838376233,-5.893824909044349,0.9735389113559039,-1.5795005054577538,1.8897181635392397,-4.314324399699336,1.9125593942512948
20,0,refusal,28,23,67.70393240970114,34.95670899941283,15.334820343100507,3.911178953415557,-14.733186441919077,6.879593260926941,-17.40138526584791,4.282115733661375,2.6681988135628076,2.7046601608687473
20,0,static,28,23,-5.7013138480808426e-08,5.057226958082421,0.0,0.0,-1.7914939108102217,2.6645364455317218,-7.917382717132568,1.7032638239583855,6.125888793364815,2.4989747756253142
