k,response_step,metric,n_success,n_fail,success_mean,fail_mean,success_minus_fail,success_median,fail_median,auc_success_high,auc_success_low
20,1,compliance_logmass,25,138,-11.606036596298217,-12.832572708959164,1.2265361126609466,-12.698166847229004,-13.036958694458008,0.5965217391304348,0.40347826086956523
20,2,safety_projection,25,138,-4.288428382873535,-0.7711679350206817,-3.5172604478528537,-4.661805152893066,-1.4856268167495728,0.2982608695652174,0.7017391304347826
20,2,kl_to_static,25,138,13.52789701461792,13.7107949435198,-0.1828979289018804,13.252848625183104,14.1705641746521,0.4707246376811594,0.5292753623188405
20,2,refusal_margin,25,138,0.8574508476257324,1.3728180665900742,-0.5153672189643418,0.8216066360473633,1.5292282104492188,0.4092753623188406,0.5907246376811595
20,2,refusal_logmass,25,138,-12.072522926330567,-11.502229904351028,-0.5702930219795395,-11.881420135498049,-11.594242572784424,0.4771014492753623,0.5228985507246376
20,2,compliance_logmass,25,138,-12.929973773956299,-12.875047972236855,-0.05492580171944361,-13.696060180664062,-13.361567497253418,0.4979710144927536,0.5020289855072464
20,4,safety_projection,25,138,-5.356972444057464,-0.9322382330462553,-4.424734211011209,-6.996956825256348,-1.3701112270355225,0.3179710144927536,0.6820289855072463
20,4,kl_to_static,25,138,13.662347583770751,13.184411159244137,0.47793642452661445,13.899128913879396,13.43460988998413,0.5023188405797101,0.49768115942028984
20,4,refusal_margin,25,138,-0.014786605834960937,1.0043417906415635,-1.0191283964765243,0.4542722702026367,1.6146831512451172,0.35246376811594204,0.647536231884058
20,4,refusal_logmass,25,138,-11.337909469604492,-12.196447908014491,0.8585384384099992,-12.827054977416992,-12.240218162536621,0.5353623188405797,0.4646376811594203
20,4,compliance_logmass,25,138,-11.323122882843018,-13.200789710317833,1.8776668274748154,-11.97133445739746,-13.613773822784424,0.6373913043478261,0.3626086956521739
20,8,safety_projection,25,138,-7.0695812797546385,-2.337216159571772,-4.732365120182866,-8.27440357208252,-3.4093419313430786,0.3318840579710145,0.6681159420289855
20,8,kl_to_static,25,138,12.592118277549744,13.484981329274783,-0.8928630517250387,13.50093936920166,14.040472507476808,0.4582608695652174,0.5417391304347826
20,8,refusal_margin,25,138,0.5366114616394043,1.6624399993730627,-1.1258285377336583,1.2920055389404297,1.7977490425109863,0.3872463768115942,0.6127536231884058
20,8,refusal_logmass,25,138,-12.39160608291626,-12.192012603732122,-0.19959347918413783,-11.948526382446287,-11.993947505950928,0.47739130434782606,0.5226086956521739
20,8,compliance_logmass,25,138,-12.92821754693985,-13.854452603105186,0.9262350561653356,-12.990086555480955,-13.916057109832764,0.5779710144927537,0.4220289855072464
20,16,safety_projection,25,138,-2.3612872552871704,-1.183484433353811,-1.1778028219333594,-2.617983818054199,-2.912503719329834,0.49043478260869566,0.5095652173913043
20,16,kl_to_static,25,138,14.719961500167846,14.452800904319663,0.26716059584818375,15.825681686401367,14.537743091583252,0.516231884057971,0.483768115942029
20,16,refusal_margin,25,138,0.42674644470214845,1.0644590336343516,-0.6377125889322031,1.062152862548828,1.300969123840332,0.4666666666666667,0.5333333333333333
20,16,refusal_logmass,25,138,-12.246045608520507,-13.181043362271959,0.9349977537514516,-12.351372718811035,-12.97299098968506,0.616231884057971,0.383768115942029
20,16,compliance_logmass,25,138,-12.672792072296142,-14.24550239417864,1.5727103218824983,-13.008678436279297,-14.473106861114502,0.6794202898550724,0.32057971014492753
