k,response_step,metric,n,mean_diff,median_diff,std_diff,se_diff,adaptive_gt_static,adaptive_lt_static,q25_diff,q75_diff
20,2,safety_projection,163,-1.3106251059134313,-1.4469494819641113,8.376611598594975,0.6561068570089843,65,98,-5.8624149560928345,3.362870156764984
20,2,kl_to_static,163,13.682743113933622,13.966154098510742,5.180032131576607,0.40573142983307714,163,0,10.84231948852539,17.085848808288574
20,2,refusal_margin,163,0.4297817784584373,0.25857448577880865,2.8733693521604944,0.22505965717548343,89,74,-1.0995182394981386,1.8950672149658203
20,2,refusal_logmass,163,1.9682435495721782,1.8357200622558576,4.169911492121082,0.3266126751728713,118,45,-0.2643866539001465,4.156597137451172
20,2,compliance_logmass,163,1.5384617685540323,1.6213874816894513,4.515002459824081,0.3536422858378544,109,54,-0.6494879722595224,3.6912713050842294
20,4,safety_projection,163,-1.6108784889516654,-2.050763964653015,10.118523493620184,0.7925439264826665,68,95,-7.165355801582336,3.7784361839294434
20,4,kl_to_static,163,13.257714291840243,13.453747749328612,5.224235033649804,0.4091936683299397,163,0,10.565041542053223,16.831852912902832
20,4,refusal_margin,163,-0.21157612098506623,0.15217018127441406,3.415888548776043,0.2675530401823034,85,78,-1.3978114128112793,1.5594861507415771
20,4,refusal_logmass,163,1.9436776389373591,1.791578292846678,3.512206826948568,0.2750972699726511,121,42,-0.023477554321289062,3.982191801071165
20,4,compliance_logmass,163,2.155253747123882,1.7348642349243164,4.332418623141155,0.3393412160297748,119,44,-0.30865049362182617,4.33677053451538
20,8,safety_projection,163,-3.0630390133960117,-3.4682817459106428,10.015091918447224,0.7844425402713728,54,109,-9.134688019752502,2.0815517902374268
20,8,kl_to_static,163,13.348039143427384,13.81606101989746,5.652894541844322,0.4427688722579452,163,0,9.865000247955322,16.784482955932617
20,8,refusal_margin,163,0.5646863685795135,0.6593379974365234,2.808924852608207,0.2200119744036261,102,61,-0.8340821266174316,2.1825265884399414
20,8,refusal_logmass,163,1.9328864161953605,1.5538873672485352,3.9031051559901444,0.3057147900831157,120,43,-0.021069049835205966,4.11361837387085
20,8,compliance_logmass,163,1.3682000472501743,1.1571998596191424,4.182780482227825,0.32762065227106113,106,57,-0.8986392021179199,3.6083993911743164
20,16,safety_projection,163,-1.3641289843737714,-0.39133405685424805,11.510603679390806,0.9015800617552681,75,88,-8.226396322250366,5.736562967300414
20,16,kl_to_static,163,14.49377645583012,14.57406234741211,4.9509896072993635,0.38779143476989997,163,0,11.089578628540039,17.890588760375977
20,16,refusal_margin,163,0.47601081110948434,0.25138282775878906,3.5692034564901722,0.2795615905429065,88,75,-1.3145298957824707,2.610629081726074
20,16,refusal_logmass,163,1.489712103744226,1.3601207733154297,3.667286292585841,0.2872440311765454,106,57,-0.6784858703613272,3.580899238586426
20,16,compliance_logmass,163,1.0137012900293239,1.1398506164550781,4.1120162646160106,0.3220779709780936,100,63,-1.355428695678711,3.741881847381591
