k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
20,0,28,40,66.48916625976562,0.0023413230665028095,0.9086076617240906
20,0,28,41,66.21666717529297,0.002322171116247773,0.9109298586845398
20,0,28,42,65.39690399169922,0.0022650298196822405,0.9131948947906494
20,0,28,43,64.49724578857422,0.0022031390108168125,0.9153980612754822
20,0,28,44,63.52544403076172,0.002137248171493411,0.9175353050231934
20,0,28,45,63.074642181396484,0.0021070223301649094,0.9196423292160034
20,0,28,46,62.277584075927734,0.002054107142612338,0.9216964244842529
20,0,28,47,61.48598861694336,0.002002220368012786,0.9236985445022583
20,0,28,48,60.80514907836914,0.001958124339580536,0.9256566762924194
20,0,28,49,60.350955963134766,0.0019289805786684155,0.9275856614112854
20,0,28,50,59.72184371948242,0.001888974104076624,0.9294746518135071
20,0,28,51,59.302513122558594,0.0018625407246872783,0.9313371777534485
20,0,28,52,58.6178092956543,0.001819779397919774,0.9331569671630859
20,0,28,53,58.1156120300293,0.0017887316644191742,0.9349457025527954
20,0,28,54,57.6834716796875,0.0017622290179133415,0.9367079138755798
20,0,28,55,56.98862838745117,0.0017200298607349396,0.9384279251098633
20,0,28,56,56.919700622558594,0.0017158716218546033,0.9401438236236572
20,0,28,57,56.37139129638672,0.0016829726519063115,0.9418268203735352
20,0,28,58,55.28759765625,0.0016188813606277108,0.9434456825256348
20,0,28,59,55.22523498535156,0.001615231274627149,0.9450609087944031
20,0,28,60,54.34126663208008,0.001563936355523765,0.9466248154640198
20,0,28,61,53.14689254760742,0.0014959439868107438,0.9481207728385925
20,0,28,62,52.820247650146484,0.0014776120660826564,0.9495983719825745
20,0,28,63,52.3882942199707,0.001453543663956225,0.9510520100593567
20,0,28,64,52.17379379272461,0.0014416651101782918,0.9524936676025391
20,0,28,65,51.23676300048828,0.0013903460931032896,0.9538840055465698
20,0,28,66,50.67847442626953,0.0013602121034637094,0.955244243144989
20,0,28,67,50.5714111328125,0.0013544709654524922,0.956598699092865
20,0,28,68,50.20873260498047,0.0013351131929084659,0.957933783531189
20,0,28,69,49.847137451171875,0.0013159518130123615,0.95924973487854
20,0,28,70,48.27968215942383,0.0012344922870397568,0.9604842066764832
