comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
harmful_prefix-plain,14,32,32,7.706047058105469,12.767850875854492,0.7194410562515259,7.2403364181518555,0.8721591830253601,0.5672909021377563,0.06234856694936752,final_token
harmful_prefix-plain,15,32,32,8.549939155578613,14.332683563232422,0.8382696509361267,7.9308600425720215,1.016095519065857,0.553098738193512,0.06181234121322632,final_token
harmful_prefix-plain,16,32,32,9.380735397338867,15.927725791931152,0.9562064409255981,8.652334213256836,1.1219708919525146,0.5422078371047974,0.055735886096954346,final_token
harmful_prefix-plain,17,32,32,10.448933601379395,17.531845092773438,1.2424474954605103,9.61962604522705,1.2485913038253784,0.5475125312805176,0.05148870125412941,final_token
harmful_prefix-plain,18,32,32,10.876413345336914,18.79397201538086,1.4220621585845947,10.01655387878418,1.393843173980713,0.5318381786346436,0.05536689609289169,final_token
harmful_prefix-plain,19,32,32,12.047043800354004,20.54349136352539,1.5898877382278442,11.148484230041504,1.6079620122909546,0.5414140224456787,0.05843697115778923,final_token
harmful_prefix-plain,20,32,32,13.425860404968262,23.462711334228516,2.101367712020874,12.414388656616211,1.8758243322372437,0.5273023843765259,0.052604060620069504,final_token
harmful_prefix-plain,21,32,32,14.788559913635254,26.081401824951172,2.6450858116149902,13.64683723449707,2.167681932449341,0.5215224623680115,0.05373774468898773,final_token
harmful_prefix-plain,22,32,32,16.4515438079834,28.632488250732422,2.772979497909546,15.064168930053711,2.325295925140381,0.5248966813087463,0.05604676529765129,final_token
harmful_prefix-plain,23,32,32,18.25077247619629,31.675077438354492,3.054239511489868,16.80720329284668,2.4236361980438232,0.5300647616386414,0.05525735393166542,final_token
harmful_prefix-plain,24,32,32,22.376914978027344,35.87052917480469,3.2756495475769043,20.823806762695312,2.499741554260254,0.5808443427085876,0.05202990397810936,final_token
harmful_prefix-plain,25,32,32,23.951818466186523,38.91778564453125,3.5723135471343994,22.45376968383789,2.9325408935546875,0.5768583416938782,0.05627845600247383,final_token
harmful_prefix-plain,26,32,32,27.726978302001953,44.18948745727539,3.7939023971557617,26.507671356201172,3.358947277069092,0.5996842384338379,0.05745505169034004,final_token
harmful_prefix-plain,27,32,32,33.037105560302734,50.86337661743164,3.912295341491699,32.298728942871094,4.036714553833008,0.6343081593513489,0.058775000274181366,final_token
harmful_prefix-plain,28,32,32,70.84530639648438,103.83332061767578,6.119723796844482,70.80718994140625,8.667780876159668,0.6816080808639526,0.07185731083154678,final_token
refusal_prefix-plain,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,last_user_token
refusal_prefix-plain,1,32,32,1.4634059880336281e-05,7.156188075896353e-05,0.0001521253288956359,3.913235559593886e-06,1.8846305465558544e-05,0.007760600186884403,0.040930356830358505,last_user_token
refusal_prefix-plain,2,32,32,5.261223850538954e-05,0.00024194802972488105,0.00043352608918212354,6.5635731516522355e-06,3.89765300496947e-05,0.005358085036277771,0.03175318241119385,last_user_token
refusal_prefix-plain,3,32,32,0.00013719055277761072,0.0005851865862496197,0.0010506833204999566,5.512368807103485e-05,0.00017141617718152702,0.019281793385744095,0.05618010088801384,last_user_token
refusal_prefix-plain,4,32,32,0.0003022541350219399,0.0010098129278048873,0.0018078002613037825,3.2902826205827296e-05,0.00016771537775639445,0.008358592167496681,0.042640235275030136,last_user_token
refusal_prefix-plain,5,32,32,0.000409020489314571,0.0015589443501085043,0.0027485478203743696,1.4800183635088615e-05,0.00015550163516309112,0.001826613675802946,0.025215229019522667,last_user_token
refusal_prefix-plain,6,32,32,0.0005106711760163307,0.0019925255328416824,0.003486789297312498,2.7949890863965265e-05,0.00022483905195258558,0.0030510704964399338,0.026173681020736694,last_user_token
refusal_prefix-plain,7,32,32,0.0006161810015328228,0.0022688161116093397,0.003954497165977955,2.8090209525544196e-05,0.00039607073995284736,0.003983493894338608,0.041618261486291885,last_user_token
refusal_prefix-plain,8,32,32,0.0007262293947860599,0.0025652789045125246,0.004475671797990799,8.763028745306656e-05,0.00045154240797273815,0.009000098332762718,0.04047742486000061,last_user_token
refusal_prefix-plain,9,32,32,0.0007763566682115197,0.0029423460364341736,0.0051235114224255085,0.00010397794540040195,0.00046998303150758147,0.008398085832595825,0.03708333522081375,last_user_token
refusal_prefix-plain,10,32,32,0.0008756292518228292,0.0032040136866271496,0.00557359866797924,5.9265337768010795e-05,0.0003500651509966701,0.004402345512062311,0.02591715380549431,last_user_token
refusal_prefix-plain,11,32,32,0.0009246281697414815,0.0034341379068791866,0.005976366810500622,0.0001494222233304754,0.00048237029113806784,0.010444765910506248,0.034404635429382324,last_user_token
refusal_prefix-plain,12,32,32,0.0011390221770852804,0.004131618421524763,0.00718883378431201,0.0004294079844839871,0.0010933602461591363,0.02483956329524517,0.06186233460903168,last_user_token
refusal_prefix-plain,13,32,32,0.0011836319463327527,0.00468593742698431,0.00815507024526596,0.00027129065711051226,0.0009849312482401729,0.014128107577562332,0.04992623254656792,last_user_token
refusal_prefix-plain,14,32,32,0.0012145898072049022,0.004751077387481928,0.008253861218690872,0.0001978101208806038,0.0008026345749385655,0.01000996958464384,0.040470145642757416,last_user_token
refusal_prefix-plain,15,32,32,0.0012711366871371865,0.005290623288601637,0.009181832894682884,0.00024479860439896584,0.0007658644462935627,0.011671599932014942,0.036323536187410355,last_user_token
refusal_prefix-plain,16,32,32,0.0014126293826848269,0.005968133918941021,0.010390611365437508,0.0002991136279888451,0.0006973235867917538,0.012577010318636894,0.02919468656182289,last_user_token
refusal_prefix-plain,17,32,32,0.001565184211358428,0.006723019294440746,0.01172678917646408,0.00036701365024782717,0.0009304923005402088,0.01364265289157629,0.03360064700245857,last_user_token
refusal_prefix-plain,18,32,32,0.0017500787507742643,0.007278965786099434,0.012718244455754757,0.0003686754498630762,0.0009849454509094357,0.012712600640952587,0.03340359777212143,last_user_token
refusal_prefix-plain,19,32,32,0.001888025552034378,0.007977009750902653,0.013958847150206566,0.0005178459687158465,0.001177357044070959,0.016192909330129623,0.03635162115097046,last_user_token
refusal_prefix-plain,20,32,32,0.002083883620798588,0.008931349962949753,0.015635082498192787,0.0005095681990496814,0.0012068990617990494,0.01388111338019371,0.032776232808828354,last_user_token
refusal_prefix-plain,21,32,32,0.0023354277946054935,0.0099534522742033,0.017407599836587906,0.00042182946344837546,0.0013653384521603584,0.010268328711390495,0.03443990647792816,last_user_token
refusal_prefix-plain,22,32,32,0.002553376602008939,0.01081707514822483,0.01891549676656723,0.0003663445822894573,0.0015637681353837252,0.007846293039619923,0.035212479531764984,last_user_token
refusal_prefix-plain,23,32,32,0.002968564862385392,0.01205231063067913,0.021068502217531204,0.0006531673716381192,0.002738216193392873,0.012814072892069817,0.05493706092238426,last_user_token
refusal_prefix-plain,24,32,32,0.003323914250358939,0.013562843203544617,0.023682324215769768,0.0007062196964398026,0.0025420007295906544,0.013048820197582245,0.046313609927892685,last_user_token
refusal_prefix-plain,25,32,32,0.003833527211099863,0.014944521710276604,0.026059141382575035,0.00047824904322624207,0.002662648679688573,0.008580626919865608,0.04570700600743294,last_user_token
refusal_prefix-plain,26,32,32,0.004470041953027248,0.01672614924609661,0.029149068519473076,0.0005513853393495083,0.002763556083664298,0.008677346631884575,0.04250470921397209,last_user_token
refusal_prefix-plain,27,32,32,0.005428124684840441,0.019802600145339966,0.034506991505622864,-2.0624283934012055e-05,0.002968394663184881,-0.0001586354337632656,0.039517201483249664,last_user_token
refusal_prefix-plain,28,32,32,0.009466205723583698,0.03482360020279884,0.060835178941488266,0.0011055441573262215,0.002686583437025547,0.007733380887657404,0.018952999264001846,last_user_token
harmful_prefix-plain,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,last_user_token
harmful_prefix-plain,1,32,32,2.6945408535539173e-05,0.00010466076491866261,0.00016250618500635028,1.8520624962548027e-06,1.0743130587798078e-05,0.0060898540541529655,0.030884014442563057,last_user_token
harmful_prefix-plain,2,32,32,0.0001021626012516208,0.0005373795283958316,0.0004466641694307327,1.561698445584625e-05,4.7502915549557656e-05,0.015225689858198166,0.046161212027072906,last_user_token
harmful_prefix-plain,3,32,32,0.00022427392832469195,0.001373968436382711,0.0011099327821284533,6.709127046633512e-05,0.00017231171659659594,0.02783403918147087,0.07320810854434967,last_user_token
harmful_prefix-plain,4,32,32,0.00037257009535096586,0.0023318491876125336,0.0018651043064892292,0.00010578971705399454,0.00017335556913167238,0.027164235711097717,0.04438592121005058,last_user_token
harmful_prefix-plain,5,32,32,0.0006375504308380187,0.003685529110953212,0.0029169784393161535,0.00023464523837901652,0.00047450276906602085,0.040556229650974274,0.08074309676885605,last_user_token
