k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
10,0,28,35,105.79767608642578,0.005365493707358837,0.6727641224861145
10,0,28,36,104.81171417236328,0.005265953950583935,0.6780300736427307
10,0,28,37,104.14879608154297,0.005199552047997713,0.6832296252250671
10,0,28,38,103.82054901123047,0.005166828166693449,0.6883964538574219
10,0,28,39,101.97277069091797,0.004984548781067133,0.6933809518814087
10,0,28,40,101.54113006591797,0.004942439962178469,0.6983233690261841
10,0,28,41,101.06752014160156,0.00489644194021821,0.7032198309898376
10,0,28,42,99.87071990966797,0.00478116562590003,0.7080010175704956
10,0,28,43,99.41820526123047,0.0047379364259541035,0.7127389311790466
10,0,28,44,98.73531341552734,0.004673071671277285,0.717411994934082
10,0,28,45,98.12259674072266,0.004615252371877432,0.7220272421836853
10,0,28,46,97.56468963623047,0.004562919028103352,0.7265901565551758
10,0,28,47,96.32461547851562,0.004447664134204388,0.7310379147529602
10,0,28,48,96.16678619384766,0.004433101043105125,0.7354710102081299
10,0,28,49,95.90897369384766,0.004409363493323326,0.739880383014679
10,0,28,50,94.60542297363281,0.004290318116545677,0.7441707253456116
10,0,28,51,93.92208862304688,0.004228563513606787,0.7483993172645569
10,0,28,52,93.27272033691406,0.004170294385403395,0.7525696158409119
10,0,28,53,93.08421325683594,0.004153454676270485,0.7567230463027954
10,0,28,54,92.28787231445312,0.004082692787051201,0.7608057260513306
10,0,28,55,91.32787322998047,0.003998196218162775,0.7648038864135742
10,0,28,56,91.26515197753906,0.003992706537246704,0.7687965631484985
10,0,28,57,89.68557739257812,0.0038556945510208607,0.772652268409729
10,0,28,58,89.45610809326172,0.0038359896279871464,0.7764882445335388
10,0,28,59,88.68812561035156,0.0037704079877585173,0.7802586555480957
10,0,28,60,88.37242889404297,0.0037436133716255426,0.7840022444725037
10,0,28,61,87.7119369506836,0.003687863238155842,0.7876901030540466
10,0,28,62,87.57878875732422,0.0036766754928976297,0.7913667559623718
10,0,28,63,86.65773010253906,0.0035997473169118166,0.7949666380882263
10,0,28,64,86.46405029296875,0.0035836745519191027,0.7985503077507019
10,0,28,65,86.04826354980469,0.0035492912866175175,0.8020995855331421
10,0,28,66,85.77447509765625,0.0035267409402877092,0.8056263327598572
10,0,28,67,84.98445129394531,0.003462074091657996,0.809088408946991
10,0,28,68,84.45280456542969,0.003418893553316593,0.8125073313713074
10,0,28,69,84.32307434082031,0.0034083977807313204,0.8159157037734985
10,0,28,70,83.2012939453125,0.0033183146733790636,0.8192340135574341
10,0,28,71,82.95567321777344,0.003298751311376691,0.8225327730178833
10,0,28,72,82.667236328125,0.0032758519519120455,0.8258086442947388
10,0,28,73,82.34052276611328,0.003250009845942259,0.8290586471557617
10,0,28,74,81.77413940429688,0.0032054525800049305,0.8322641253471375
10,0,28,75,80.8507308959961,0.0031334683299064636,0.8353976011276245
10,0,28,76,80.50450897216797,0.003106689313426614,0.8385043144226074
10,0,28,77,79.7552719116211,0.0030491319485008717,0.8415534496307373
10,0,28,78,79.4506607055664,0.0030258852057158947,0.8445793390274048
10,0,28,79,78.7921371459961,0.0029759330209344625,0.8475551605224609
10,0,28,80,78.26969146728516,0.002936599077656865,0.8504917621612549
10,0,28,81,77.92706298828125,0.002910945098847151,0.8534027338027954
10,0,28,82,77.68753051757812,0.002893077442422509,0.8562958240509033
10,0,28,83,77.43234252929688,0.002874102210626006,0.8591699004173279
10,0,28,84,76.97859191894531,0.002840516623109579,0.8620104193687439
10,0,28,85,76.24102020263672,0.002786344615742564,0.8647967576980591
10,0,28,86,75.49125671386719,0.0027318112552165985,0.8675285577774048
10,0,28,87,75.10151672363281,0.002703677164390683,0.8702322244644165
10,0,28,88,74.75169372558594,0.002678548451513052,0.8729107975959778
10,0,28,89,74.03897094726562,0.002627714304253459,0.8755385279655457
10,0,28,90,73.92940521240234,0.0026199431158602238,0.878158450126648
10,0,28,91,73.64833068847656,0.0026000591460615396,0.88075852394104
10,0,28,92,73.21783447265625,0.0025697515811771154,0.8833282589912415
10,0,28,93,72.98014831542969,0.0025530944112688303,0.8858813643455505
10,0,28,94,72.53133392333984,0.0025217889342457056,0.8884031772613525
10,0,28,95,72.17976379394531,0.0024974013213068247,0.8909004926681519
10,0,28,96,71.34747314453125,0.0024401391856372356,0.8933406472206116
10,0,28,97,71.24092102050781,0.0024328564759343863,0.8957735300064087
10,0,28,98,70.70433044433594,0.002396345604211092,0.8981698751449585
10,0,28,99,70.55986022949219,0.0023865625262260437,0.9005564451217651
10,0,28,100,69.46623992919922,0.0023131563793867826,0.9028695821762085
10,0,28,101,69.32597351074219,0.0023038245271891356,0.9051734209060669
10,0,28,102,68.89871215820312,0.0022755146492272615,0.907448947429657
10,0,28,103,68.69768524169922,0.002262255409732461,0.9097111821174622
10,0,28,104,68.38985443115234,0.0022420266177505255,0.9119532108306885
10,0,28,105,68.11457061767578,0.002224013675004244,0.9141772389411926
10,0,28,106,67.43218231201172,0.002179675502702594,0.9163569211959839
10,0,28,107,67.310302734375,0.002171803265810013,0.9185287356376648
10,0,28,108,67.19271850585938,0.002164222067221999,0.9206929802894592
10,0,28,109,66.4726791381836,0.0021180869080126286,0.9228110909461975
10,0,28,110,66.31182861328125,0.002107848646119237,0.9249189496040344
10,0,28,111,65.64912414550781,0.0020659284200519323,0.9269847869873047
10,0,28,112,65.55303192138672,0.0020598850678652525,0.9290446639060974
10,0,28,113,65.22058868408203,0.0020390450954437256,0.9310836791992188
10,0,28,114,65.09441375732422,0.002031163312494755,0.9331148266792297
10,0,28,115,64.34746551513672,0.0019848160445690155,0.9350996613502502
10,0,28,116,63.582733154296875,0.0019379197619855404,0.9370375871658325
10,0,28,117,63.434566497802734,0.0019288985058665276,0.9389665126800537
10,0,28,118,63.155120849609375,0.0019119413336738944,0.9408784508705139
10,0,28,119,62.91191101074219,0.0018972438992932439,0.9427757263183594
10,0,28,120,62.25675964355469,0.0018579346360638738,0.9446336627006531
10,0,28,121,61.820194244384766,0.0018319690134376287,0.9464656114578247
10,0,28,122,61.3838996887207,0.0018062022281810641,0.9482718110084534
10,0,28,123,61.2501220703125,0.0017983380239456892,0.9500701427459717
